model,confidence,entry_c,entry_penetration_c,entry_end_minute,target_c,target_penetration_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_avg_win_c,discovery_avg_loss_c,discovery_median_fill_minute,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_avg_win_c,validation_avg_loss_c,validation_median_fill_minute
p_btc_signal,0.125,20,0,8,90,1,65,5.346153846153846,1.3122192273135669,0.35384615384615387,63.5,-26.5,8.0,30,0.5,1.0269541778975741,0.3,63.5,-26.5,8.0
p_btc_signal,0.125,20,0,8,90,2,65,5.346153846153846,1.3122192273135669,0.35384615384615387,63.5,-26.5,8.0,30,0.5,1.0269541778975741,0.3,63.5,-26.5,8.0
p_btc_signal,0.275,20,1,12,90,0,68,5.264705882352941,1.3070325900514579,0.35294117647058826,63.5,-26.5,10.0,66,-3.3181818181818183,0.8313438582980361,0.25757575757575757,63.5,-26.5,10.0
p_btc_signal,0.275,20,1,12,90,1,68,5.264705882352941,1.3070325900514579,0.35294117647058826,63.5,-26.5,10.0,66,-3.3181818181818183,0.8313438582980361,0.25757575757575757,63.5,-26.5,10.0
p_btc_signal,0.275,20,1,12,90,2,68,5.264705882352941,1.3070325900514579,0.35294117647058826,63.5,-26.5,10.0,66,-4.681818181818182,0.7667924528301887,0.24242424242424243,63.5,-26.5,10.0
p_btc_signal,0.25,20,1,10,90,0,54,5.166666666666667,1.3008086253369273,0.35185185185185186,63.5,-26.5,9.0,39,-3.423076923076923,0.8262849707221861,0.2564102564102564,63.5,-26.5,9.0
p_btc_signal,0.25,20,1,10,90,1,54,5.166666666666667,1.3008086253369273,0.35185185185185186,63.5,-26.5,9.0,39,-3.423076923076923,0.8262849707221861,0.2564102564102564,63.5,-26.5,9.0
p_btc_signal,0.25,20,1,10,90,2,54,5.166666666666667,1.3008086253369273,0.35185185185185186,63.5,-26.5,9.0,39,-3.423076923076923,0.8262849707221861,0.2564102564102564,63.5,-26.5,9.0
p_kalshi_signal,0.30000000000000004,20,0,12,90,0,57,5.078947368421052,1.295257521672616,0.3508771929824561,63.5,-26.5,10.0,33,-10.136363636363637,0.5324947589098532,0.18181818181818182,63.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,0,12,90,1,57,5.078947368421052,1.295257521672616,0.3508771929824561,63.5,-26.5,10.0,33,-10.136363636363637,0.5324947589098532,0.18181818181818182,63.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,0,12,90,2,57,5.078947368421052,1.295257521672616,0.3508771929824561,63.5,-26.5,10.0,33,-12.863636363636363,0.4278975741239892,0.15151515151515152,63.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,0,12,85,0,57,4.815789473684211,1.2877358490566038,0.3684210526315789,58.5,-26.5,10.0,33,-11.045454545454545,0.49056603773584906,0.18181818181818182,58.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,0,12,85,1,57,4.815789473684211,1.2877358490566038,0.3684210526315789,58.5,-26.5,10.0,33,-11.045454545454545,0.49056603773584906,0.18181818181818182,58.5,-26.5,11.0
p_btc_signal,0.275,20,1,12,85,0,68,4.75,1.283457656867047,0.36764705882352944,58.5,-26.5,10.0,66,-4.606060606060606,0.7658837119753562,0.25757575757575757,58.5,-26.5,10.0
p_btc_signal,0.275,20,1,12,85,1,68,4.75,1.283457656867047,0.36764705882352944,58.5,-26.5,10.0,66,-4.606060606060606,0.7658837119753562,0.25757575757575757,58.5,-26.5,10.0
p_btc_signal,0.1,20,2,8,80,0,62,4.467741935483871,1.275074478649454,0.3870967741935484,53.5,-26.5,8.0,21,-7.4523809523809526,0.6308962264150944,0.23809523809523808,53.5,-26.5,8.0
p_btc_signal,0.1,20,2,8,80,1,62,4.467741935483871,1.275074478649454,0.3870967741935484,53.5,-26.5,8.0,21,-7.4523809523809526,0.6308962264150944,0.23809523809523808,53.5,-26.5,8.0
p_btc_signal,0.1,20,2,8,80,2,62,4.467741935483871,1.275074478649454,0.3870967741935484,53.5,-26.5,8.0,21,-7.4523809523809526,0.6308962264150944,0.23809523809523808,53.5,-26.5,8.0
p_market_blend,0.1,20,1,8,85,0,52,4.5576923076923075,1.2710120068610635,0.36538461538461536,58.5,-26.5,8.0,20,-1.0,0.9460916442048517,0.3,58.5,-26.5,8.0
p_market_blend,0.1,20,1,8,85,1,52,4.5576923076923075,1.2710120068610635,0.36538461538461536,58.5,-26.5,8.0,20,-1.0,0.9460916442048517,0.3,58.5,-26.5,8.0
p_market_blend,0.1,20,1,8,85,2,52,4.5576923076923075,1.2710120068610635,0.36538461538461536,58.5,-26.5,8.0,20,-1.0,0.9460916442048517,0.3,58.5,-26.5,8.0
p_market,0.125,20,1,8,90,0,52,4.653846153846154,1.2685904550499445,0.34615384615384615,63.5,-26.5,8.0,17,-5.323529411764706,0.737300435413643,0.23529411764705882,63.5,-26.5,8.0
p_market,0.125,20,1,8,90,1,52,4.653846153846154,1.2685904550499445,0.34615384615384615,63.5,-26.5,8.0,17,-5.323529411764706,0.737300435413643,0.23529411764705882,63.5,-26.5,8.0
p_market,0.125,20,1,8,90,2,52,4.653846153846154,1.2685904550499445,0.34615384615384615,63.5,-26.5,8.0,17,-5.323529411764706,0.737300435413643,0.23529411764705882,63.5,-26.5,8.0
p_btc_signal,0.25,20,1,12,85,2,96,4.489583333333333,1.2666254253015774,0.3645833333333333,58.5,-26.5,10.0,79,-2.829113924050633,0.8520357497517378,0.27848101265822783,58.5,-26.5,11.0
p_btc_signal,0.25,20,0,10,90,0,55,4.590909090909091,1.2646750524109014,0.34545454545454546,63.5,-26.5,9.0,40,-1.75,0.9089134677944047,0.275,63.5,-26.5,9.0
p_btc_signal,0.25,20,0,10,90,1,55,4.590909090909091,1.2646750524109014,0.34545454545454546,63.5,-26.5,9.0,40,-1.75,0.9089134677944047,0.275,63.5,-26.5,9.0
p_btc_signal,0.25,20,0,10,90,2,55,4.590909090909091,1.2646750524109014,0.34545454545454546,63.5,-26.5,9.0,40,-1.75,0.9089134677944047,0.275,63.5,-26.5,9.0
p_btc_signal,0.25,20,0,12,85,0,99,4.409090909090909,1.261455525606469,0.36363636363636365,58.5,-26.5,10.0,80,-2.0625,0.8907646474677259,0.2875,58.5,-26.5,10.5
p_btc_signal,0.25,20,0,12,85,1,99,4.409090909090909,1.261455525606469,0.36363636363636365,58.5,-26.5,10.0,80,-2.0625,0.8907646474677259,0.2875,58.5,-26.5,10.5
p_kalshi_signal,0.30000000000000004,20,2,12,85,0,55,4.409090909090909,1.261455525606469,0.36363636363636365,58.5,-26.5,10.0,32,-10.5625,0.5094339622641509,0.1875,58.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,2,12,85,1,55,4.409090909090909,1.261455525606469,0.36363636363636365,58.5,-26.5,10.0,32,-10.5625,0.5094339622641509,0.1875,58.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,2,12,85,2,55,4.409090909090909,1.261455525606469,0.36363636363636365,58.5,-26.5,10.0,32,-10.5625,0.5094339622641509,0.1875,58.5,-26.5,11.0
p_btc_signal,0.125,20,1,8,75,0,54,4.055555555555555,1.258254716981132,0.4074074074074074,48.5,-26.5,8.0,28,-5.071428571428571,0.7320754716981132,0.2857142857142857,48.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,75,1,54,4.055555555555555,1.258254716981132,0.4074074074074074,48.5,-26.5,8.0,28,-5.071428571428571,0.7320754716981132,0.2857142857142857,48.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,75,2,54,4.055555555555555,1.258254716981132,0.4074074074074074,48.5,-26.5,8.0,28,-5.071428571428571,0.7320754716981132,0.2857142857142857,48.5,-26.5,8.0
p_btc_signal,0.25,20,0,12,90,0,99,4.409090909090909,1.253410740203193,0.3434343434343434,63.5,-26.5,10.0,80,-0.625,0.966898378020523,0.2875,63.5,-26.5,10.5
p_btc_signal,0.25,20,0,12,90,1,99,4.409090909090909,1.253410740203193,0.3434343434343434,63.5,-26.5,10.0,80,-0.625,0.966898378020523,0.2875,63.5,-26.5,10.5
