rule,side_filter,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,total_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_early_low_c,avg_early_reclaim_c,avg_signed_btc_ret_1_5,avg_btc_range_1_5
low<=20_close55-75_green,NO,70,186,62.956989247311824,8.0,0.8494623655913979,0.8993855606758832,-3.49462365591398,-650.0000000000002,-8.630434782608699,"-3.49,-1.80,-8.63,-0.13",2,10,-11.500000000000002,15.163440860215054,15.417741935483873,1.4169892473117371,112.14188172043033
low<=20_close55-75_green,NO,80,186,62.956989247311824,8.0,0.7688172043010753,0.7869623655913978,-1.4516129032258076,-270.0000000000002,-6.239130434782612,"1.62,-3.54,-6.24,2.21",4,10,-9.000000000000002,15.163440860215054,15.417741935483873,1.4169892473117371,112.14188172043033
low<=20_close55-75_green,NO,85,186,62.956989247311824,8.0,0.7311827956989247,0.7406704617330803,-0.8064516129032269,-150.0000000000002,-10.934782608695654,"3.85,-10.93,-2.76,6.36",6,10,-13.04347826086957,15.163440860215054,15.417741935483873,1.4169892473117371,112.14188172043033
low<=20_close55-75_green,NO,90,186,62.956989247311824,8.0,0.7043010752688172,0.6995221027479092,0.4301075268817195,79.99999999999983,-9.847826086956525,"5.87,-9.85,-1.24,6.68",5,10,-10.21739130434783,15.163440860215054,15.417741935483873,1.4169892473117371,112.14188172043033
low<=20_close55-75_green,NO,99,186,62.956989247311824,8.0,0.6397849462365591,0.6359291843162811,0.38172043010752627,70.99999999999989,-6.717391304347829,"4.34,-6.72,-1.63,5.34",6,10,-9.434782608695656,15.163440860215054,15.417741935483873,1.4169892473117371,112.14188172043033
low<=25_close40-65_green,BOTH,60,1001,49.83516483516483,7.0,0.7772227772227772,0.8305860805860805,-3.201798201798202,-3205.0,-5.020000000000001,"-3.66,-1.52,-2.60,-5.02",0,10,-7.57,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,BOTH,70,1001,49.83516483516483,7.0,0.7022977022977023,0.7119309262166404,-0.6743256743256746,-675.0000000000002,-1.1800000000000004,"-0.11,-0.72,-0.68,-1.18",3,10,-4.07,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,BOTH,80,1001,49.83516483516483,7.0,0.6243756243756243,0.6229395604395604,0.11488511488511471,114.99999999999983,-1.3640000000000005,"1.60,-1.36,0.52,-0.30",6,10,-5.57,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,BOTH,85,1001,49.83516483516483,7.0,0.5914085914085914,0.5862960568842921,0.4345654345654343,434.9999999999997,-2.4040000000000004,"1.44,-2.40,1.26,1.44",5,10,-3.67,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,BOTH,90,1001,49.83516483516483,7.0,0.5564435564435565,0.5537240537240536,0.24475524475524452,244.99999999999977,-1.7640000000000005,"0.88,-1.76,0.64,1.22",5,10,-4.57,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,BOTH,99,1001,49.83516483516483,7.0,0.5024975024975025,0.5033855033855034,-0.08791208791208803,-88.00000000000011,-2.0880000000000005,"1.24,-2.09,-1.09,1.58",3,10,-3.369369369369371,18.97102897102897,12.025674325674327,-6.119520479520363,93.70089910089925
low<=25_close40-65_green,YES,60,514,49.900778210116734,7.0,0.7898832684824902,0.8316796368352789,-2.507782101167315,-1289.0,-4.255813953488372,"-4.26,-1.03,-1.28,-3.44",1,10,-5.9056603773584895,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,YES,70,514,49.900778210116734,7.0,0.7140077821011673,0.7128682601445248,0.07976653696498054,41.0,-1.0387596899224807,"-0.46,-0.56,2.39,-1.04",5,10,-4.264705882352942,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,YES,80,514,49.900778210116734,7.0,0.6342412451361867,0.6237597276264591,0.8385214007782101,431.0,-2.28125,"0.40,-2.28,4.81,0.43",5,10,-4.372549019607843,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,YES,85,514,49.900778210116734,7.0,0.603112840466926,0.5870679789425498,1.3638132295719845,701.0,-1.96875,"0.90,-1.97,4.89,1.64",6,10,-3.0980392156862746,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,YES,90,514,49.900778210116734,7.0,0.5642023346303502,0.5544530912235193,0.877431906614786,451.0,-1.265625,"-1.00,-1.27,3.88,1.91",7,10,-3.784313725490196,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,YES,99,514,49.900778210116734,7.0,0.5155642023346303,0.5040482647486538,1.140077821011673,586.0,-1.828125,"-0.72,-1.83,3.80,3.30",7,10,-6.358490566037735,19.28035019455253,12.53249027237354,-3.002315175097125,95.05048638132315
low<=25_close40-65_green,NO,60,487,49.765913757700204,7.0,0.7638603696098563,0.8294318959616701,-3.9342915811088304,-1916.0000000000005,-7.59016393442623,"-3.02,-2.02,-3.10,-7.59",0,10,-11.0625,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close40-65_green,NO,70,487,49.765913757700204,7.0,0.6899383983572895,0.7109416251100029,-1.4702258726899389,-716.0000000000002,-2.918032786885247,"0.25,-0.87,-2.36,-2.92",4,10,-9.396226415094342,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close40-65_green,NO,80,487,49.765913757700204,7.0,0.6139630390143738,0.6220739219712526,-0.6488706365503085,-316.0000000000002,-2.933884297520663,"2.88,-0.38,-2.93,-2.18",5,10,-10.645833333333334,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close40-65_green,NO,85,487,49.765913757700204,7.0,0.5790554414784395,0.5854813383258848,-0.5462012320328548,-266.0000000000003,-2.836065573770493,"2.02,-2.84,-1.45,0.07",4,10,-8.354166666666666,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close40-65_green,NO,90,487,49.765913757700204,7.0,0.5482546201232033,0.5529545973077801,-0.42299794661191,-206.00000000000017,-2.355371900826448,"2.88,-2.26,-2.36,0.03",5,10,-9.8125,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close40-65_green,NO,99,487,49.765913757700204,7.0,0.4887063655030801,0.5026859975525273,-1.3839835728952772,-674.0,-5.851239669421489,"3.32,-2.34,-5.85,-0.70",4,10,-7.980392156862746,18.644558521560572,11.490759753593428,-9.409548254620043,92.27648870636563
low<=25_close45-65_green,BOTH,60,809,53.44004944375772,7.0,0.8430160692212608,0.8906674907292954,-2.8590852904820774,-2313.0000000000005,-5.118226600985222,"-5.12,-1.35,-1.68,-3.27",0,10,-7.031578947368421,19.182818294190355,13.073794808405438,-3.4215327564894173,96.5891718170583
low<=25_close45-65_green,BOTH,70,809,53.44004944375772,7.0,0.761433868974042,0.7634292777679674,-0.1396786155747839,-113.00000000000017,-1.6206896551724144,"-1.62,0.03,0.05,0.99",5,10,-3.7407407407407414,19.182818294190355,13.073794808405438,-3.4215327564894173,96.5891718170583
low<=25_close45-65_green,BOTH,80,809,53.44004944375772,7.0,0.681087762669963,0.6680006180469715,1.0469715698393076,846.9999999999999,-0.6584158415841594,"0.60,-0.66,1.39,2.87",5,10,-4.068493150684931,19.182818294190355,13.073794808405438,-3.4215327564894173,96.5891718170583
low<=25_close45-65_green,BOTH,85,809,53.44004944375772,7.0,0.6452410383189122,0.6287064640442085,1.4054388133498146,1137.0,-2.4158415841584167,"0.60,-2.42,2.30,5.14",4,10,-3.958333333333334,19.182818294190355,13.073794808405438,-3.4215327564894173,96.5891718170583
low<=25_close45-65_green,BOTH,90,809,53.44004944375772,7.0,0.6093943139678616,0.5937783271528636,1.4054388133498146,1137.0,-2.5396039603960405,"0.20,-2.54,3.37,4.60",6,10,-4.791666666666667,19.182818294190355,13.073794808405438,-3.4215327564894173,96.5891718170583
