side,trades,avg_cost,hit99,settle_win,avg_pnl_99_c,avg_pnl_hold_c,median_minutes99,yes_share,table,entry_time_bin,drop_peak_bin,prior_peak_bin
,1013,0.5392497532082922,0.558736426456071,0.558736426456071,1.3899308983218142,1.9486673247778856,7.0,0.4945705824284304,selected_by_prior_peak,,,70-80c
,498,0.5434939759036145,0.5562248995983936,0.5582329317269076,0.9176706827309216,1.473895582329315,5.0,0.5020080321285141,selected_by_prior_peak,,,80-90c
,144,0.5482638888888889,0.5555555555555556,0.5486111111111112,0.17361111111110866,0.03472222222222056,3.0,0.5138888888888888,selected_by_prior_peak,,,90c+
,447,0.5559060402684564,0.6331096196868009,0.6308724832214765,7.087248322147648,7.49664429530201,11.0,0.4697986577181208,selected_by_entry_time_and_drop,m2-3,none,
,362,0.5411878453038674,0.6132596685082873,0.6049723756906077,6.593922651933699,6.37845303867403,10.5,0.44751381215469616,selected_by_entry_time_and_drop,m2-3,0-5c,
,344,0.5350872093023256,0.5988372093023255,0.5959302325581395,5.776162790697672,6.084302325581393,11.0,0.45348837209302323,selected_by_entry_time_and_drop,m2-3,5-10c,
,271,0.5344280442804429,0.5682656826568265,0.5645756457564576,2.8154981549815474,3.014760147601474,11.0,0.4870848708487085,selected_by_entry_time_and_drop,m2-3,10-20c,
,42,0.5280952380952381,0.40476190476190477,0.40476190476190477,-12.738095238095237,-12.333333333333332,10.0,0.5238095238095238,selected_by_entry_time_and_drop,m2-3,20c+,
,80,0.5537500000000001,0.575,0.575,1.5499999999999963,2.1249999999999973,8.0,0.5875,selected_by_entry_time_and_drop,m4-5,none,
,113,0.550353982300885,0.5575221238938053,0.5486725663716814,0.15929203539822573,-0.1681415929203563,9.0,0.5132743362831859,selected_by_entry_time_and_drop,m4-5,0-5c,
,220,0.5382727272727272,0.6136363636363636,0.6090909090909091,6.922727272727269,7.081818181818181,9.0,0.5272727272727272,selected_by_entry_time_and_drop,m4-5,5-10c,
,399,0.5344611528822055,0.5463659147869674,0.5413533834586466,0.6441102756892205,0.6892230576441083,9.0,0.48370927318295737,selected_by_entry_time_and_drop,m4-5,10-20c,
,130,0.5276923076923078,0.5461538461538461,0.5461538461538461,1.2999999999999976,1.8461538461538454,9.0,0.4846153846153846,selected_by_entry_time_and_drop,m4-5,20c+,
,49,0.5455102040816326,0.5102040816326531,0.5102040816326531,-4.0408163265306145,-3.530612244897961,7.0,0.6326530612244898,selected_by_entry_time_and_drop,m6-8,none,
,39,0.5507692307692308,0.6410256410256411,0.6410256410256411,8.384615384615381,9.025641025641022,7.0,0.48717948717948717,selected_by_entry_time_and_drop,m6-8,0-5c,
,148,0.5391891891891891,0.5878378378378378,0.5743243243243243,4.2770270270270245,3.513513513513512,7.0,0.5540540540540541,selected_by_entry_time_and_drop,m6-8,5-10c,
,424,0.5376415094339623,0.5683962264150944,0.5683962264150944,2.5070754716981107,3.0754716981132053,7.0,0.4858490566037736,selected_by_entry_time_and_drop,m6-8,10-20c,
,351,0.5344729344729344,0.5384615384615384,0.5384615384615384,-0.13960113960114295,0.3988603988603965,7.0,0.48717948717948717,selected_by_entry_time_and_drop,m6-8,20c+,
,27,0.5570370370370371,0.6666666666666666,0.6666666666666666,10.296296296296294,10.962962962962958,4.0,0.5185185185185185,selected_by_entry_time_and_drop,m9-11,none,
,14,0.5442857142857143,0.7142857142857143,0.7142857142857143,16.28571428571428,16.999999999999996,3.5,0.42857142857142855,selected_by_entry_time_and_drop,m9-11,0-5c,
,34,0.5455882352941177,0.5,0.5,-5.058823529411768,-4.558823529411766,5.0,0.29411764705882354,selected_by_entry_time_and_drop,m9-11,5-10c,
,203,0.5380788177339901,0.5369458128078818,0.5369458128078818,-0.6502463054187209,-0.11330049261083983,4.0,0.5123152709359606,selected_by_entry_time_and_drop,m9-11,10-20c,
,445,0.5364269662921348,0.5797752808988764,0.5797752808988764,3.9797752808988744,4.334831460674155,4.0,0.5123595505617977,selected_by_entry_time_and_drop,m9-11,20c+,
,17,0.55,0.6470588235294118,0.6470588235294118,9.05882352941176,9.705882352941174,2.0,0.47058823529411764,selected_by_entry_time_and_drop,m12-15,none,
,6,0.5566666666666668,0.16666666666666666,0.16666666666666666,-39.16666666666668,-39.000000000000014,3.0,0.5,selected_by_entry_time_and_drop,m12-15,0-5c,
,13,0.5438461538461539,0.8461538461538461,0.8461538461538461,29.38461538461538,30.230769230769226,2.0,0.3076923076923077,selected_by_entry_time_and_drop,m12-15,5-10c,
,67,0.5502985074626866,0.5373134328358209,0.5373134328358209,-1.8358208955223914,-1.2985074626865694,2.5,0.5522388059701493,selected_by_entry_time_and_drop,m12-15,10-20c,
