rule,side,target_c,trades,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,touch_ema_after_entry,avg_entry_minute,avg_signal_ext_bps,avg_entry_ext_bps,avg_further_ext_bps,yes_share,table
ext40bps_further0bps_entry20c,NO,80,69,0.028985507246376812,0.25,-17.681159420289855,-20.0,"-20.00,-15.29,-15.29,-20.00",0,9,-20.0,0.028985507246376812,0.014492753623188406,6.0144927536231885,49.0363621482256,50.08463952611809,1.048277377892494,0.0,rule_side
ext40bps_further0bps_entry20c,NO,85,69,0.028985507246376812,0.23529411764705882,-17.536231884057973,-20.0,"-20.00,-15.00,-15.00,-20.00",0,9,-20.0,0.028985507246376812,0.014492753623188406,6.0144927536231885,49.0363621482256,50.08463952611809,1.048277377892494,0.0,rule_side
ext40bps_further0bps_entry20c,NO,99,69,0.028985507246376812,0.20202020202020202,-17.130434782608695,-20.0,"-20.00,-14.18,-14.18,-20.00",0,9,-20.0,0.028985507246376812,0.014492753623188406,6.0144927536231885,49.0363621482256,50.08463952611809,1.048277377892494,0.0,rule_side
ext40bps_further0bps_entry20c,YES,45,52,0.019230769230769232,0.4444444444444444,-19.134615384615383,-20.0,"-16.54,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,50,52,0.019230769230769232,0.4,-19.03846153846154,-20.0,"-16.15,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,55,52,0.019230769230769232,0.36363636363636365,-18.942307692307693,-20.0,"-15.77,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,60,52,0.019230769230769232,0.3333333333333333,-18.846153846153847,-20.0,"-15.38,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,65,52,0.019230769230769232,0.3076923076923077,-18.75,-20.0,"-15.00,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,70,52,0.019230769230769232,0.2857142857142857,-18.653846153846153,-20.0,"-14.62,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,75,52,0.019230769230769232,0.26666666666666666,-18.557692307692307,-20.0,"-14.23,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
