rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=20_close50-70_green,NO,flat,15-20,70,69,58.710144927536234,0.8260869565217391,0.8387163561076605,-0.8840579710144928,-4.294117647058825,"0.28,-4.29,-3.82,4.24",5,10,-16.600000000000005,8.0
low<=20_close50-70_green,NO,flat,15-20,80,69,58.710144927536234,0.6956521739130435,0.7338768115942029,-3.0579710144927534,-10.764705882352942,"-4.72,-10.76,-5.59,8.94",3,10,-13.8,8.0
low<=20_close50-70_green,NO,flat,15-20,85,69,58.710144927536234,0.6811594202898551,0.6907075873827793,-0.8115942028985503,-12.823529411764708,"-1.39,-12.82,-2.35,13.35",3,10,-10.8,8.0
low<=20_close50-70_green,NO,flat,15-20,90,69,58.710144927536234,0.6376811594202898,0.6523349436392915,-1.318840579710145,-15.470588235294118,"1.94,-15.47,-4.41,12.47",4,10,-14.714285714285714,8.0
low<=20_close50-70_green,NO,flat,15-20,99,69,58.710144927536234,0.6086956521739131,0.5930317669448104,1.5507246376811599,-11.23529411764706,"2.44,-11.24,0.88,14.06",5,10,-10.857142857142858,8.0
low<=20_close50-70_green,YES,flat,15-20,60,60,58.35,0.9,0.9725,-4.35,-9.399999999999999,"-9.40,-1.00,0.87,-7.87",4,10,-34.66666666666667,7.0
low<=20_close50-70_green,YES,flat,15-20,70,60,58.35,0.7833333333333333,0.8335714285714286,-3.516666666666667,-10.73333333333333,"-10.73,3.67,1.53,-8.53",4,10,-31.33333333333334,7.0
low<=20_close50-70_green,YES,flat,15-20,80,60,58.35,0.7166666666666667,0.729375,-1.0166666666666673,-9.399999999999999,"-9.40,7.00,4.87,-6.53",6,10,-28.000000000000004,7.0
low<=20_close50-70_green,YES,flat,15-20,85,60,58.35,0.7,0.6864705882352942,1.15,-12.066666666666665,"-12.07,11.00,8.87,-3.20",6,10,-26.33333333333334,7.0
low<=20_close50-70_green,YES,flat,15-20,90,60,58.35,0.6666666666666666,0.6483333333333333,1.65,-15.399999999999999,"-15.40,15.00,6.87,0.13",6,10,-24.66666666666667,7.0
low<=20_close50-70_green,YES,flat,15-20,99,60,58.35,0.6166666666666667,0.5893939393939394,2.7,-11.199999999999998,"-11.20,15.60,6.87,-0.47",6,10,-21.66666666666667,7.0
low<=20_close50-70_green,YES,with25-75,15-20,60,35,58.2,0.9428571428571428,0.9700000000000001,-1.6285714285714283,-6.874999999999998,"2.78,-4.44,-6.87,1.44",5,10,-14.250000000000002,6.0
low<=20_close50-70_green,YES,with25-75,15-20,70,35,58.2,0.7714285714285715,0.8314285714285715,-4.2,-15.625,"5.00,-11.11,-15.62,3.67",7,10,-41.75,6.0
low<=20_close50-70_green,YES,with25-75,15-20,80,35,58.2,0.7428571428571429,0.7275,1.2285714285714289,-13.333333333333336,"13.89,-13.33,-9.38,12.56",6,10,-39.25,6.0
low<=20_close50-70_green,YES,with25-75,15-20,85,35,58.2,0.7142857142857143,0.6847058823529412,2.5142857142857142,-16.875,"18.33,-10.56,-16.88,17.00",6,10,-38.0,6.0
low<=20_close50-70_green,YES,with25-75,15-20,90,35,58.2,0.6857142857142857,0.6466666666666667,3.5142857142857142,-25.625,"22.78,-7.78,-25.62,21.44",6,10,-36.75,6.0
low<=20_close50-70_green,YES,with25-75,15-20,99,35,58.2,0.5714285714285714,0.5878787878787879,-1.6285714285714286,-22.25,"19.78,-13.78,-22.25,7.44",5,10,-64.0,6.0
low<=20_close55-75_green,NO,flat,15-20,60,58,63.91379310344828,0.9827586206896551,1.0652298850574713,-4.948275862068965,-8.142857142857144,"-3.13,-4.79,-8.14,-3.93",1,10,-10.714285714285719,8.0
low<=20_close55-75_green,NO,flat,15-20,70,58,63.91379310344828,0.9137931034482759,0.9130541871921183,0.051724137931033504,-4.785714285714287,"6.87,-4.79,-3.86,1.40",7,10,-12.142857142857148,8.0
low<=20_close55-75_green,NO,flat,15-20,80,58,63.91379310344828,0.7586206896551724,0.7989224137931035,-3.2241379310344827,-13.357142857142858,"-4.47,-13.36,-1.00,5.40",4,10,-23.125,8.0
low<=20_close55-75_green,NO,flat,15-20,85,58,63.91379310344828,0.7413793103448276,0.7519269776876268,-0.8965517241379315,-16.214285714285715,"-0.80,-16.21,2.93,9.73",4,10,-20.625,8.0
low<=20_close55-75_green,NO,flat,15-20,90,58,63.91379310344828,0.7068965517241379,0.7101532567049809,-0.29310344827586254,-13.357142857142858,"2.87,-13.36,0.43,8.07",6,10,-33.666666666666664,8.0
low<=20_close55-75_green,NO,flat,15-20,99,58,63.91379310344828,0.6724137931034483,0.6455938697318008,2.6551724137931028,-8.214285714285715,"2.87,-8.21,6.86,8.67",5,10,-30.666666666666668,8.0
low<=20_close55-75_green,YES,flat,15-20,60,58,63.41379310344828,0.9655172413793104,1.056896551724138,-5.482758620689655,-8.866666666666667,"-6.00,-3.14,-3.64,-8.87",1,10,-20.66666666666667,8.0
low<=20_close55-75_green,YES,flat,15-20,70,58,63.41379310344828,0.8448275862068966,0.905911330049261,-4.275862068965518,-10.666666666666664,"-10.67,6.86,-3.64,-8.87",3,10,-19.375,8.0
low<=20_close55-75_green,YES,flat,15-20,80,58,63.41379310344828,0.7586206896551724,0.7926724137931035,-2.724137931034483,-8.666666666666664,"-8.67,-0.29,4.93,-6.20",4,10,-13.125,8.0
low<=20_close55-75_green,YES,flat,15-20,85,58,63.41379310344828,0.7413793103448276,0.7460446247464503,-0.39655172413793094,-10.999999999999998,"-11.00,3.64,9.21,-2.53",5,10,-18.833333333333332,8.0
low<=20_close55-75_green,YES,flat,15-20,90,58,63.41379310344828,0.7068965517241379,0.7045977011494253,0.20689655172413782,-13.999999999999998,"-14.00,7.57,7.07,1.13",7,10,-31.333333333333332,8.0
low<=20_close55-75_green,YES,flat,15-20,99,58,63.41379310344828,0.6551724137931034,0.6405433646812957,1.4482758620689655,-9.199999999999998,"-9.20,7.57,7.07,1.13",6,10,-28.333333333333332,8.0
low<=20_close55-75_green,YES,with25-75,15-20,60,34,63.8235294117647,0.9705882352941176,1.0637254901960784,-5.588235294117647,-11.749999999999998,"-2.67,-3.13,-11.75,-5.22",1,10,-13.0,7.0
low<=20_close55-75_green,YES,with25-75,15-20,70,34,63.8235294117647,0.8235294117647058,0.9117647058823529,-6.176470588235294,-20.5,"7.33,-10.63,-20.50,-3.00",6,10,-37.666666666666664,7.0
low<=20_close55-75_green,YES,with25-75,15-20,80,34,63.8235294117647,0.7647058823529411,0.7977941176470588,-2.6470588235294117,-23.125,"17.33,-23.12,-14.25,5.89",6,10,-34.333333333333336,7.0
low<=20_close55-75_green,YES,with25-75,15-20,85,34,63.8235294117647,0.7352941176470589,0.7508650519031141,-1.3235294117647058,-21.75,"22.33,-20.62,-21.75,10.33",6,10,-32.666666666666664,7.0
low<=20_close55-75_green,YES,with25-75,15-20,90,34,63.8235294117647,0.7058823529411765,0.7091503267973855,-0.2941176470588233,-30.5,"27.33,-18.12,-30.50,14.78",6,10,-31.0,7.0
low<=20_close55-75_green,YES,with25-75,15-20,99,34,63.8235294117647,0.5882352941176471,0.6446821152703506,-5.588235294117647,-27.125,"25.33,-26.00,-27.12,0.78",5,10,-67.5,7.0
low<=25_close40-65_green,NO,against25-75,15-20,60,37,50.0,0.8378378378378378,0.8333333333333334,0.2702702702702691,-4.400000000000002,"-4.40,0.89,3.89,1.22",4,9,-11.000000000000004,8.0
low<=25_close40-65_green,NO,against25-75,15-20,70,37,50.0,0.8108108108108109,0.7142857142857143,6.756756756756757,2.000000000000001,"3.60,2.00,12.78,9.00",6,9,-6.0000000000000036,8.0
low<=25_close40-65_green,NO,against25-75,15-20,80,37,50.0,0.7027027027027027,0.625,6.216216216216216,-9.888888888888891,"11.60,9.78,12.78,-9.89",7,9,-41.0,8.0
