rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=30_close50-70_green,YES,against25-75,15-20,15,0.8,57.53333333333333,10.466666666666667,8.0
low<=35_close50-70_green,YES,against25-75,15-20,15,0.8,57.53333333333333,10.466666666666667,8.0
low<=40_close50-70_green,YES,against25-75,15-20,15,0.8,57.53333333333333,10.466666666666667,8.0
low<=25_close50-70_green,NO,against25-75,20-25,33,0.7878787878787878,56.72727272727273,10.242424242424242,8.0
low<=30_close50-70_green,NO,against25-75,20-25,33,0.7878787878787878,56.72727272727273,10.242424242424242,8.0
low<=35_close50-70_green,NO,against25-75,20-25,33,0.7878787878787878,56.72727272727273,10.242424242424242,8.0
low<=40_close50-70_green,NO,against25-75,20-25,33,0.7878787878787878,56.72727272727273,10.242424242424242,8.0
low<=20_close55-75_green,YES,against>75,15-20,7,0.8571428571428571,64.0,8.85714285714286,9.0
low<=25_close55-75_green,YES,against>75,15-20,7,0.8571428571428571,64.0,8.85714285714286,9.0
low<=30_close55-75_green,YES,against>75,15-20,7,0.8571428571428571,64.0,8.85714285714286,9.0
low<=35_close55-75_green,YES,against>75,15-20,7,0.8571428571428571,64.0,8.85714285714286,9.0
low<=40_close55-75_green,YES,against>75,15-20,7,0.8571428571428571,64.0,8.85714285714286,9.0
low<=40_close40-65_green,NO,against25-75,35+,45,0.7111111111111111,51.6,8.844444444444441,7.0
low<=20_close45-65_green,NO,with25-75,15-20,23,0.7391304347826086,54.04347826086956,8.782608695652172,6.0
low<=25_close45-65_green,NO,with25-75,15-20,23,0.7391304347826086,54.04347826086956,8.782608695652172,6.0
low<=30_close45-65_green,NO,with25-75,15-20,23,0.7391304347826086,54.04347826086956,8.782608695652172,6.0
low<=35_close45-65_green,NO,with25-75,15-20,23,0.7391304347826086,54.04347826086956,8.782608695652172,6.0
low<=40_close45-65_green,NO,with25-75,15-20,23,0.7391304347826086,54.04347826086956,8.782608695652172,6.0
low<=40_close40-65_green,YES,against>75,35+,3,0.6666666666666666,48.0,8.66666666666667,7.0
low<=20_close40-65_green,YES,against>75,15-20,15,0.6666666666666666,48.0,8.666666666666666,8.0
low<=25_close40-65_green,YES,against>75,15-20,15,0.6666666666666666,48.0,8.666666666666666,8.0
low<=30_close40-65_green,YES,against>75,15-20,15,0.6666666666666666,48.0,8.666666666666666,8.0
low<=35_close40-65_green,YES,against>75,15-20,15,0.6666666666666666,48.0,8.666666666666666,8.0
