pred_col,threshold,trades,avg_cost,hit99,settle_win,avg_pnl_99_c,avg_pnl_hold_c,median_minutes99,yes_share
pred_hit99_logit,0.69,4,0.56,0.75,0.75,18.249999999999993,18.999999999999993,9.0,0.5
pred_hit99_hgb,0.54,838,0.5570763723150358,0.5644391408114559,0.5596658711217184,0.2911694510739827,0.2589498806682552,9.0,0.4510739856801909
pred_hit99_hgb,0.55,755,0.5584635761589405,0.5602649006622517,0.5549668874172186,-0.24768211920530142,-0.3496688741721881,9.0,0.44370860927152317
pred_hit99_hgb,0.56,629,0.5596820349761525,0.575516693163752,0.5723370429252782,1.1669316375198695,1.2655007949125563,9.0,0.42289348171701113
pred_hit99_hgb,0.57,492,0.5609756097560976,0.5589430894308943,0.5548780487804879,-0.5589430894308975,-0.6097560975609778,9.0,0.3882113821138211
pred_hit99_hgb,0.58,369,0.5616260162601627,0.5718157181571816,0.5663956639566395,0.7181571815718122,0.4769647696476941,9.0,0.3685636856368564
pred_hit99_hgb,0.59,265,0.5615471698113208,0.5773584905660377,0.569811320754717,1.3811320754716931,0.826415094339619,9.0,0.33584905660377357
pred_hit99_hgb,0.6,178,0.5614044943820226,0.5786516853932584,0.5674157303370787,1.7078651685393218,0.6011235955056141,9.0,0.2808988764044944
pred_hit99_hgb,0.61,110,0.5600909090909091,0.6272727272727273,0.6181818181818182,6.9999999999999964,5.809090909090905,9.0,0.20909090909090908
pred_hit99_hgb,0.62,78,0.5591025641025643,0.6282051282051282,0.6153846153846154,7.564102564102559,5.628205128205126,9.0,0.15384615384615385
pred_hit99_hgb,0.63,49,0.5591836734693878,0.6326530612244898,0.6326530612244898,8.75510204081632,7.346938775510199,9.0,0.1836734693877551
pred_hit99_hgb,0.64,27,0.5614814814814815,0.6296296296296297,0.6296296296296297,6.18518518518518,6.8148148148148096,9.0,0.1111111111111111
pred_hit99_hgb,0.65,17,0.563529411764706,0.6470588235294118,0.6470588235294118,7.70588235294117,8.352941176470582,10.0,0.058823529411764705
pred_hit99_hgb,0.66,14,0.5650000000000001,0.6428571428571429,0.6428571428571429,7.142857142857137,7.78571428571428,10.0,0.0
pred_hit99_hgb,0.67,10,0.5640000000000002,0.7,0.7,12.899999999999995,13.599999999999996,10.0,0.0
pred_hit99_hgb,0.68,8,0.5675000000000001,0.75,0.75,17.499999999999993,18.249999999999993,10.0,0.0
pred_hit99_hgb,0.69,6,0.5733333333333334,0.6666666666666666,0.6666666666666666,8.66666666666666,9.333333333333327,9.5,0.0
pred_focus_hit99_logit,0.54,604,0.5518046357615893,0.5413907284768212,0.5413907284768212,-1.4172185430463615,-1.041390728476824,9.0,0.4370860927152318
pred_focus_hit99_logit,0.55,549,0.5521675774134791,0.5245901639344263,0.5264116575591985,-3.1001821493624795,-2.5755919854280536,9.0,0.43897996357012753
pred_focus_hit99_logit,0.56,499,0.5522645290581163,0.5350701402805611,0.5350701402805611,-2.2545090180360754,-1.7194388777555136,9.0,0.4408817635270541
pred_focus_hit99_logit,0.57,441,0.5526530612244898,0.5510204081632653,0.5510204081632653,-0.7142857142857175,-0.16326530612245155,9.0,0.42403628117913833
pred_focus_hit99_logit,0.58,367,0.5526158038147139,0.5613079019073569,0.5613079019073569,0.30790190735694556,0.8692098092643026,9.0,0.4196185286103542
pred_focus_hit99_logit,0.59,311,0.552636655948553,0.5530546623794212,0.5530546623794212,-0.5112540192926079,0.04180064308681412,9.0,0.43729903536977494
pred_focus_hit99_logit,0.6,260,0.5532692307692307,0.5692307692307692,0.5692307692307692,1.0269230769230742,1.5961538461538436,9.0,0.41923076923076924
pred_focus_hit99_logit,0.61,218,0.5523853211009175,0.5504587155963303,0.5504587155963303,-0.7431192660550504,-0.192660550458718,9.0,0.42660550458715596
pred_focus_hit99_logit,0.62,187,0.5525668449197861,0.5454545454545454,0.5454545454545454,-1.2566844919786142,-0.711229946524068,9.0,0.40106951871657753
pred_focus_hit99_logit,0.63,161,0.552111801242236,0.5279503105590062,0.5279503105590062,-2.944099378881991,-2.416149068322985,9.0,0.391304347826087
pred_focus_hit99_logit,0.64,133,0.5515789473684212,0.5037593984962406,0.5037593984962406,-5.285714285714289,-4.781954887218047,9.0,0.39097744360902253
pred_focus_hit99_logit,0.65,109,0.551467889908257,0.48623853211009177,0.48623853211009177,-7.00917431192661,-6.522935779816515,9.0,0.43119266055045874
pred_focus_hit99_logit,0.66,88,0.5535227272727273,0.4431818181818182,0.4431818181818182,-11.47727272727273,-11.03409090909091,10.0,0.4318181818181818
pred_focus_hit99_logit,0.67,79,0.5535443037974684,0.4430379746835443,0.4430379746835443,-11.493670886075954,-11.050632911392405,10.0,0.4050632911392405
pred_focus_hit99_logit,0.68,70,0.5561428571428572,0.44285714285714284,0.44285714285714284,-11.771428571428574,-11.328571428571433,10.0,0.4142857142857143
pred_focus_hit99_logit,0.69,61,0.5559016393442624,0.4262295081967213,0.4262295081967213,-13.393442622950822,-12.9672131147541,10.0,0.4098360655737705
pred_focus_hit99_hgb,0.54,628,0.5478343949044585,0.5668789808917197,0.5636942675159236,1.496815286624201,1.5859872611464945,9.0,0.4872611464968153
pred_focus_hit99_hgb,0.55,585,0.5475042735042736,0.5692307692307692,0.5658119658119658,1.7743589743589712,1.830769230769229,9.0,0.49572649572649574
pred_focus_hit99_hgb,0.56,553,0.5468716094032549,0.5569620253164557,0.5533453887884268,0.6329113924050604,0.6473779385171767,9.0,0.49547920433996384
pred_focus_hit99_hgb,0.57,504,0.5473214285714286,0.5615079365079365,0.5575396825396826,1.055555555555553,1.0218253968253947,9.0,0.5079365079365079
pred_focus_hit99_hgb,0.58,464,0.5473491379310346,0.5603448275862069,0.5560344827586207,0.9547413793103423,0.8685344827586172,9.0,0.5107758620689655
pred_focus_hit99_hgb,0.59,413,0.5472397094430993,0.5714285714285714,0.5690072639225182,2.089588377723968,2.176755447941887,9.0,0.513317191283293
