kind,pred,threshold,cost_lo,cost_hi,target,trades,win_rate,avg_entry_c,avg_pnl_c,total_unit_pnl_c,avg_win_c,avg_loss_c,pf,min_q,q,pos_weeks,weeks,min_week,yes_share,final_balance_c,account_pnl_c,max_dd_c
ml,pred_focus_hit99_hgb,0.53,0.55,0.7,90,362,0.638121546961326,56.9475138121547,-6.016574585635359,-2178.0,26.551948051948052,-63.44656488549618,0.7379534380075798,-13.016483516483516,"-9.04,-13.02,-0.53,-1.37",1,8,-15.290697674418608,0.494475138121547,-19.500000000000007,-11519.5,-13167.5
ml,pred_focus_hit99_hgb,0.53,0.55,0.7,95,362,0.6077348066298343,56.9475138121547,-5.712707182320446,-2068.0000000000014,31.54090909090909,-63.429577464788736,0.7704007993782613,-12.302197802197806,"-8.10,-12.30,-0.20,-2.14",1,8,-14.825581395348843,0.494475138121547,-8.500000000000021,-11508.5,-13466.5
ml,pred_focus_hit99_hgb,0.53,0.55,0.7,99,362,0.5828729281767956,56.9475138121547,-5.743093922651936,-2079.000000000001,35.518957345971565,-63.40066225165563,0.7828380425131874,-11.236263736263739,"-7.95,-11.24,-0.83,-2.87",1,8,-12.779069767441866,0.494475138121547,-39.00000000000003,-11539.0,-13781.5
ml,pred_focus_hit99_hgb,0.54,0.55,0.7,80,337,0.6735905044510386,56.961424332344215,-9.574183976261127,-3226.5,16.535242290748897,-63.45454545454545,0.5377507163323783,-16.916666666666668,"-9.75,-16.92,-5.44,-6.19",0,8,-20.615384615384617,0.4896142433234421,-34.99999999999997,-11535.0,-12545.5
ml,pred_focus_hit99_hgb,0.54,0.55,0.7,85,337,0.6468842729970327,56.961424332344215,-8.476261127596441,-2856.500000000001,21.541284403669724,-63.46638655462185,0.6217808672624958,-16.023809523809526,"-10.39,-16.02,-3.83,-3.63",1,8,-17.923076923076927,0.4896142433234421,-36.50000000000003,-11536.5,-12874.5
ml,pred_focus_hit99_hgb,0.54,0.55,0.7,90,337,0.6231454005934718,56.961424332344215,-7.378338278931751,-2486.5,26.523809523809526,-63.43700787401575,0.6913672190157016,-16.44047619047619,"-9.39,-16.44,-2.46,-1.19",1,8,-15.823529411764707,0.4896142433234421,-32.000000000000014,-11532.0,-13180.0
ml,pred_focus_hit99_hgb,0.54,0.55,0.7,95,337,0.5934718100890207,56.961424332344215,-7.081602373887246,-2386.500000000002,31.505,-63.41240875912409,0.725294964028777,-16.083333333333336,"-8.63,-16.08,-1.33,-2.26",2,8,-18.764705882352946,0.4896142433234421,-10.000000000000007,-11510.0,-13468.0
ml,pred_focus_hit99_hgb,0.54,0.55,0.7,99,337,0.5727002967359051,56.961424332344215,-6.764094955489617,-2279.500000000001,35.48963730569948,-63.395833333333336,0.7503012378135612,-15.261904761904765,"-8.65,-15.26,0.11,-3.23",2,8,-16.882352941176475,0.4896142433234421,-26.5,-11526.5,-13769.0
ml,pred_focus_hit99_hgb,0.55,0.55,0.7,80,310,0.6709677419354839,56.941935483870964,-9.764516129032257,-3027.0,16.5625,-63.450980392156865,0.532292954264524,-17.423076923076923,"-9.01,-17.42,-4.32,-8.21",0,8,-16.670731707317074,0.5,-21.0,-11521.0,-12531.5
ml,pred_focus_hit99_hgb,0.55,0.55,0.7,85,310,0.6419354838709678,56.941935483870964,-8.877419354838713,-2752.000000000001,21.57035175879397,-63.46396396396396,0.6093406203421109,-16.717948717948723,"-9.97,-16.72,-2.82,-5.88",0,8,-15.98837209302326,0.5,-29.500000000000057,-11529.5,-12867.5
ml,pred_focus_hit99_hgb,0.55,0.55,0.7,90,310,0.6193548387096774,56.941935483870964,-7.7,-2387.0,26.552083333333332,-63.432203389830505,0.6810955243820975,-16.26923076923077,"-9.14,-16.27,-1.59,-3.67",1,8,-18.392857142857142,0.5,-10.0,-11510.0,-13158.0
ml,pred_focus_hit99_hgb,0.55,0.55,0.7,95,310,0.5903225806451613,56.941935483870964,-7.361290322580648,-2282.000000000001,31.527322404371585,-63.39763779527559,0.7165745513258399,-14.858974358974365,"-8.56,-14.86,-0.62,-5.29",2,8,-19.28571428571429,0.5,-18.5000000000001,-11518.5,-13476.5
ml,pred_focus_hit99_hgb,0.55,0.55,0.7,99,310,0.5741935483870968,56.941935483870964,-6.596774193548389,-2045.0000000000005,35.51685393258427,-63.38636363636363,0.7555874267957452,-14.076923076923077,"-8.79,-14.08,0.75,-4.14",2,8,-17.428571428571434,0.5,-13.000000000000071,-11513.0,-13755.5
ml,pred_focus_hit99_hgb,0.56,0.55,0.7,80,286,0.6573426573426573,56.95104895104895,-10.863636363636363,-3107.0,16.52127659574468,-63.39795918367347,0.4999195235795912,-19.041666666666668,"-8.94,-19.04,-5.01,-10.37",0,8,-18.44871794871795,0.493006993006993,-40.0,-11540.0,-12550.5
ml,pred_focus_hit99_hgb,0.56,0.55,0.7,85,286,0.6293706293706294,56.95104895104895,-9.954545454545459,-2847.000000000001,21.516666666666662,-63.39622641509434,0.5763392857142856,-18.625,"-10.26,-18.62,-2.54,-8.26",0,8,-17.80769230769231,0.493006993006993,-1.500000000000064,-11501.5,-12839.5
ml,pred_focus_hit99_hgb,0.56,0.55,0.7,90,286,0.6048951048951049,56.95104895104895,-9.01048951048951,-2577.0,26.49421965317919,-63.36725663716814,0.6401089309405767,-18.48611111111111,"-9.64,-18.49,-1.49,-6.29",1,8,-21.958333333333332,0.493006993006993,-64.0,-11564.0,-13212.0
ml,pred_focus_hit99_hgb,0.56,0.55,0.7,95,286,0.5734265734265734,56.95104895104895,-8.975524475524479,-2567.000000000001,31.463414634146343,-63.33606557377049,0.6677882748802899,-18.625000000000007,"-7.97,-18.63,-0.71,-8.47",1,8,-23.625000000000004,0.493006993006993,-37.500000000000064,-11537.5,-13495.5
ml,pred_focus_hit99_hgb,0.56,0.55,0.7,99,286,0.5559440559440559,56.95104895104895,-8.412587412587413,-2406.0000000000005,35.4496855345912,-63.326771653543304,0.7008392912651539,-18.111111111111114,"-8.39,-18.11,0.54,-7.56",1,8,-21.95833333333334,0.493006993006993,-48.000000000000014,-11548.0,-13790.5
ml,pred_focus_hit99_hgb,0.57,0.55,0.7,80,264,0.6666666666666666,56.96590909090909,-10.132575757575758,-2675.0,16.53409090909091,-63.46590909090909,0.5210384959713519,-17.40909090909091,"-8.88,-17.41,-5.45,-8.79",0,8,-15.67142857142857,0.5,-9.5,-11509.5,-12152.5
ml,pred_focus_hit99_hgb,0.57,0.55,0.7,85,264,0.6401515151515151,56.96590909090909,-9.053030303030306,-2390.000000000001,21.517751479289938,-63.43684210526316,0.6034182361237865,-15.818181818181818,"-10.62,-15.82,-3.11,-6.67",0,8,-17.86585365853659,0.5,-14.000000000000057,-11514.0,-12357.0
ml,pred_focus_hit99_hgb,0.57,0.55,0.7,90,264,0.6136363636363636,56.96590909090909,-8.238636363636363,-2175.0,26.493827160493826,-63.40196078431372,0.6636771300448431,-15.742424242424242,"-10.24,-15.74,-2.27,-4.70",1,8,-20.357142857142858,0.5,162.0,-11338.0,-12455.0
ml,pred_focus_hit99_hgb,0.57,0.55,0.7,95,264,0.5795454545454546,56.96590909090909,-8.409090909090912,-2220.000000000001,31.46078431372549,-63.36486486486486,0.6843676690125826,-15.969696969696972,"-8.73,-15.97,-1.74,-7.20",1,8,-22.500000000000004,0.5,-19.500000000000007,-11519.5,-12762.5
ml,pred_focus_hit99_hgb,0.57,0.55,0.7,99,264,0.5643939393939394,56.96590909090909,-7.5909090909090935,-2004.0000000000007,35.45973154362416,-63.369565217391305,0.725008576329331,-15.469696969696969,"-7.92,-15.47,-0.64,-6.33",2,8,-20.78571428571429,0.5,311.0,-11189.0,-12680.5
ml,pred_focus_hit99_hgb,0.58,0.55,0.7,80,243,0.6707818930041153,56.97942386831277,-9.816872427983538,-2385.5,16.55521472392638,-63.55,0.5307828481510621,-16.270491803278688,"-8.34,-16.27,-7.25,-7.37",0,8,-18.833333333333332,0.5020576131687243,-3.0000000000000213,-11503.0,-12146.0
ml,pred_focus_hit99_hgb,0.58,0.55,0.7,85,243,0.6502057613168725,56.97942386831277,-8.211934156378604,-1995.5000000000007,21.54430379746835,-63.523529411764706,0.6304287434021667,-16.10655737704918,"-9.07,-16.11,-3.73,-3.87",0,8,-20.777777777777782,0.5020576131687243,418.0,-11082.0,-12001.5
ml,pred_focus_hit99_hgb,0.58,0.55,0.7,90,243,0.6213991769547325,56.97942386831277,-7.553497942386831,-1835.5,26.519867549668874,-63.47826086956522,0.6857020547945205,-16.270491803278688,"-8.83,-16.27,-3.16,-1.87",1,8,-28.27777777777778,0.5020576131687243,474.0,-11026.0,-12266.5
ml,pred_focus_hit99_hgb,0.58,0.55,0.7,95,243,0.588477366255144,56.97942386831277,-7.574074074074078,-1840.500000000001,31.486013986013987,-63.43,0.7098376162699038,-18.319672131147545,"-7.35,-18.32,-1.35,-3.20",2,8,-31.61111111111111,0.5020576131687243,513.5,-10986.5,-12451.0
ml,pred_focus_hit99_hgb,0.58,0.55,0.7,99,243,0.5761316872427984,56.97942386831277,-6.442386831275721,-1565.5000000000002,35.47142857142857,-63.4126213592233,0.760315394626043,-16.418032786885245,"-6.61,-16.42,-0.35,-2.32",3,8,-30.27777777777778,0.5020576131687243,706.5,-10793.5,-12450.0
ml,pred_focus_hit99_hgb,0.59,0.55,0.7,80,218,0.6834862385321101,57.00458715596331,-8.825688073394495,-1924.0,16.52013422818792,-63.55797101449275,0.5612814958385589,-15.463636363636363,"-5.30,-15.46,-8.93,-5.56",0,8,-16.323529411764707,0.5,442.5,-11057.5,-12256.5
ml,pred_focus_hit99_hgb,0.59,0.55,0.7,85,218,0.6697247706422018,57.00458715596331,-6.57798165137615,-1434.0000000000007,21.527397260273972,-63.56944444444444,0.6866943412715752,-14.009090909090911,"-4.75,-14.01,-5.50,-1.94",0,8,-18.382352941176475,0.5,903.5,-10596.5,-11555.5
ml,pred_focus_hit99_hgb,0.59,0.55,0.7,90,218,0.6376146788990825,57.00458715596331,-6.1192660550458715,-1334.0,26.5,-63.5126582278481,0.7341305430991529,-14.372727272727273,"-4.57,-14.37,-5.41,-0.00",2,8,-26.323529411764707,0.5,1053.5,-10446.5,-11698.5
ml,pred_focus_hit99_hgb,0.59,0.55,0.7,95,218,0.6009174311926605,57.00458715596331,-6.417431192660555,-1399.000000000001,31.461832061068694,-63.45402298850575,0.7465809256407933,-16.827272727272728,"-3.03,-16.83,-3.93,-1.76",2,8,-29.85294117647059,0.5,894.5,-10605.5,-12064.5
ml,pred_focus_hit99_hgb,0.59,0.55,0.7,99,218,0.5871559633027523,57.00458715596331,-5.3761467889908285,-1172.0000000000007,35.4453125,-63.43333333333333,0.7947101068488351,-14.863636363636363,"-2.28,-14.86,-3.24,-1.00",3,8,-28.44117647058824,0.5,913.0,-10587.0,-12180.5
ml,pred_focus_hit99_hgb,0.6,0.55,0.7,80,198,0.702020202020202,56.979797979797986,-7.318181818181818,-1449.0,16.528776978417266,-63.5,0.6132390230882157,-12.2,"-4.26,-12.20,-8.17,-4.60",1,8,-15.58,0.4797979797979798,900.0,-10600.0,-11799.0
ml,pred_focus_hit99_hgb,0.6,0.55,0.7,85,198,0.6868686868686869,56.979797979797986,-5.0959595959596005,-1009.0000000000009,21.53676470588235,-63.516129032258064,0.7437785678009141,-12.400000000000004,"-2.26,-12.40,-4.70,-0.93",2,8,-15.437500000000004,0.4797979797979798,1441.5,-10058.5,-11064.0
ml,pred_focus_hit99_hgb,0.6,0.55,0.7,90,198,0.6515151515151515,56.979797979797986,-4.843434343434344,-959.0000000000001,26.507751937984494,-63.45652173913044,0.7809752198241406,-13.0,"-2.26,-13.00,-4.91,0.91",3,8,-23.875,0.4797979797979798,1487.5,-10012.5,-11377.5
ml,pred_focus_hit99_hgb,0.6,0.55,0.7,95,198,0.6111111111111112,56.979797979797986,-5.424242424242429,-1074.000000000001,31.46694214876033,-63.396103896103895,0.7799856601454471,-15.900000000000004,"-0.76,-15.90,-3.58,-1.34",3,8,-27.625000000000004,0.4797979797979798,1139.5,-10360.5,-11706.0
ml,pred_focus_hit99_hgb,0.6,0.55,0.7,99,198,0.5959595959595959,56.979797979797986,-4.479797979797982,-887.0000000000005,35.44915254237288,-63.375,0.8250493096646943,-13.900000000000002,"-0.10,-13.90,-3.07,-0.74",2,8,-26.125000000000004,0.4797979797979798,1478.5,-10021.5,-11623.5
ml,pred_focus_hit99_hgb,0.61,0.55,0.7,80,178,0.7134831460674157,56.971910112359545,-6.393258426966291,-1137.9999999999998,16.570866141732285,-63.57843137254902,0.6490362374710871,-13.677777777777777,"-2.94,-13.68,-3.73,-5.14",2,8,-19.96153846153846,0.48314606741573035,1309.5,-10190.5,-11103.5
ml,pred_focus_hit99_hgb,0.61,0.55,0.7,85,178,0.6966292134831461,56.971910112359545,-4.258426966292139,-758.0000000000007,21.580645161290324,-63.592592592592595,0.7792661619103087,-14.34444444444445,"-1.06,-14.34,0.02,-1.50",3,8,-23.807692307692314,0.48314606741573035,2139.5,-9360.5,-10393.0
ml,pred_focus_hit99_hgb,0.61,0.55,0.7,90,178,0.6629213483146067,56.971910112359545,-3.808988764044944,-678.0,26.559322033898304,-63.53333333333333,0.8221406086044072,-13.455555555555556,"-1.39,-13.46,-0.32,0.09",3,8,-28.423076923076923,0.48314606741573035,2222.5,-9277.5,-10821.5
