rule,side,btc_ret_bin,ema15_bin,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low15-25_close40-60_green,NO,flat,below>150,75,29,47.37931034482759,6.0,0.5862068965517241,0.6317241379310345,-3.4137931034482767,-4.57142857142857,"-3.63,-3.57,-1.86,-4.57",3,9,-50.0,1.4293103448269842,-284.46658476911597,-74.95404645512136,20.0
m5_low15-25_close40-60_green,NO,flat,below>150,80,29,47.37931034482759,6.0,0.5517241379310345,0.5922413793103448,-3.2413793103448287,-10.428571428571429,"-0.50,-0.71,-10.43,-1.71",4,9,-50.0,1.4293103448269842,-284.46658476911597,-74.95404645512136,20.0
m5_low15-25_close40-60_green,NO,flat,below>150,85,29,47.37931034482759,6.0,0.5517241379310345,0.5574036511156186,-0.4827586206896559,-8.285714285714286,"2.62,2.14,-8.29,1.14",5,9,-50.0,1.4293103448269842,-284.46658476911597,-74.95404645512136,20.0
m5_low15-25_close40-60_green,NO,flat,above0-50,65,31,47.58064516129032,7.0,0.6129032258064516,0.7320099255583126,-7.741935483870968,-16.0,"0.12,-7.38,-16.00,-8.75",3,9,-27.5,-0.7048387096773724,29.792416590086614,11.870373439711036,21.096774193548388
m5_low15-25_close40-60_green,NO,flat,above0-50,70,31,47.58064516129032,7.0,0.5806451612903226,0.6797235023041475,-6.935483870967742,-23.857142857142858,"3.87,-4.25,-23.86,-5.63",3,9,-43.75,-0.7048387096773724,29.792416590086614,11.870373439711036,21.096774193548388
m5_low15-25_close40-60_green,NO,flat,above0-50,75,31,47.58064516129032,7.0,0.5806451612903226,0.6344086021505376,-4.032258064516129,-22.428571428571427,"7.62,-1.12,-22.43,-2.50",5,9,-43.75,-0.7048387096773724,29.792416590086614,11.870373439711036,21.096774193548388
m5_low15-25_close40-60_green,NO,flat,above0-50,80,31,47.58064516129032,7.0,0.5161290322580645,0.594758064516129,-6.290322580645162,-32.42857142857143,"1.37,2.00,-32.43,0.62",5,9,-43.75,-0.7048387096773724,29.792416590086614,11.870373439711036,21.096774193548388
m5_low15-25_close40-60_green,NO,flat,above0-50,85,31,47.58064516129032,7.0,0.5161290322580645,0.5597722960151802,-3.7096774193548394,-31.714285714285715,"4.50,5.12,-31.71,3.75",5,9,-43.75,-0.7048387096773724,29.792416590086614,11.870373439711036,21.096774193548388
m5_low15-25_close40-60_green,NO,flat,above50-150,65,33,47.39393939393939,7.0,0.7272727272727273,0.729137529137529,-0.12121212121212122,-4.333333333333332,"-4.33,-0.50,3.37,1.50",6,10,-40.0,-0.5406060606050729,85.94027867997383,27.201038606713126,20.575757575757574
m5_low15-25_close40-60_green,NO,flat,above50-150,70,33,47.39393939393939,7.0,0.696969696969697,0.677056277056277,1.393939393939394,-5.500000000000002,"-1.00,-5.50,7.12,5.25",6,10,-40.0,-0.5406060606050729,85.94027867997383,27.201038606713126,20.575757575757574
