side_filter,entry_c,target_c,gross_win_c,loss_c,breakeven_hit_rate,trades,hit_rate,edge_vs_breakeven,avg_pnl_c,total_pnl_c,median_fill_minute,avg_spread_at_fill_c,median_spread_at_fill_c,min_quartile_ev_c,quartile_ev_c,quartile_hit_rate,positive_weeks,weeks,min_week_ev_c
BOTH,32,47,15,32,0.6808510638297872,8203,0.6237961721321468,-0.05705489169764044,-2.6815799097891015,-21997,3.0,1.0263440204803116,1.0000000000000009,-2.9887859580692346,"-2.99,-2.42,-2.65,-2.67","0.617,0.629,0.624,0.624",0,10,-3.911242603550296
BOTH,32,48,16,32,0.6666666666666666,8203,0.6109959770815555,-0.05567068958511112,-2.6721931000853347,-21920,3.0,1.0263440204803116,1.0000000000000009,-2.909800097513408,"-2.91,-2.32,-2.68,-2.77","0.606,0.618,0.611,0.609",0,10,-3.8816568047337277
BOTH,32,49,17,32,0.6530612244897959,8203,0.5991710349871998,-0.05389018950259605,-2.6406192856272095,-21661,3.0,1.0263440204803116,1.0000000000000009,-2.901023890784983,"-2.81,-2.16,-2.70,-2.90","0.596,0.609,0.598,0.594",0,10,-3.9337278106508875
BOTH,32,50,18,32,0.64,8203,0.5891746921857857,-0.05082530781421435,-2.5412653907107154,-20846,3.0,1.0263440204803116,1.0000000000000009,-2.892247684056558,"-2.62,-2.01,-2.63,-2.89","0.588,0.600,0.587,0.582",0,10,-3.834319526627219
BOTH,32,51,19,32,0.6274509803921569,8203,0.5810069486773132,-0.04644403171484368,-2.368645617457028,-19430,3.0,1.0263440204803116,1.0000000000000009,-2.8820087762067286,"-2.38,-1.79,-2.42,-2.88","0.581,0.592,0.580,0.571",0,10,-3.5727810650887575
BOTH,32,52,20,32,0.6153846153846154,8203,0.5704010727782518,-0.04498354260636361,-2.3391442155309035,-19188,3.0,1.0263440204803116,1.0000000000000009,-2.742077035592394,"-2.36,-1.80,-2.45,-2.74","0.570,0.581,0.568,0.563",0,10,-3.6923076923076925
BOTH,32,53,21,32,0.6037735849056604,8203,0.5594294770206022,-0.04434410788505816,-2.3502377179080822,-19279,3.0,1.0263440204803116,1.0000000000000009,-2.604390243902439,"-2.39,-1.82,-2.60,-2.59","0.559,0.569,0.555,0.555",0,10,-3.775147928994083
BOTH,32,54,22,32,0.5925925925925926,8203,0.5501645739363648,-0.042428018656227806,-2.2911130074363038,-18794,3.0,1.0263440204803116,1.0000000000000009,-2.748902974158947,"-2.22,-1.62,-2.58,-2.75","0.551,0.563,0.545,0.542",0,10,-3.817751479289941
BOTH,32,55,23,32,0.5818181818181818,8203,0.539436791417774,-0.04238139040040778,-2.3309764720224306,-19121,3.0,1.0263440204803116,1.0000000000000009,-2.931253047294003,"-2.29,-1.56,-2.54,-2.93","0.540,0.553,0.536,0.529",0,10,-3.8816568047337277
BOTH,32,56,24,32,0.5714285714285714,8203,0.5298061684749482,-0.04162240295362318,-2.3308545654029014,-19120,3.0,1.0263440204803116,1.0000000000000009,-2.948805460750853,"-2.24,-1.64,-2.50,-2.95","0.531,0.542,0.527,0.519",0,10,-3.834319526627219
BOTH,32,57,25,32,0.5614035087719298,8203,0.5176155065220042,-0.04378800224992563,-2.4959161282457636,-20474,3.0,1.0263440204803116,1.0000000000000009,-2.985860555826426,"-2.32,-1.79,-2.89,-2.99","0.521,0.530,0.511,0.509",0,10,-3.668639053254438
BOTH,32,58,26,32,0.5517241379310345,8203,0.5094477630135317,-0.0422763749175028,-2.452029745215165,-20114,3.0,1.0263440204803116,1.0000000000000009,-3.0706972208678693,"-2.14,-1.85,-2.75,-3.07","0.515,0.520,0.504,0.499",0,10,-3.583431952662722
BOTH,32,59,27,32,0.5423728813559322,8203,0.505668657808119,-0.03670422354781322,-2.16554918932098,-17764,3.0,1.0263440204803116,1.0000000000000009,-2.8308142369575817,"-1.82,-1.57,-2.44,-2.83","0.511,0.516,0.501,0.494",0,10,-3.429404900816803
BOTH,32,60,28,32,0.5333333333333333,8203,0.4964037547238815,-0.03692957860945184,-2.21577471656711,-18176,3.0,1.0263440204803116,1.0000000000000009,-2.892247684056558,"-1.90,-1.52,-2.56,-2.89","0.502,0.508,0.491,0.485",0,10,-3.4352392065344226
BOTH,32,61,29,32,0.5245901639344263,8203,0.49030842374740946,-0.034281740187016796,-2.0911861514080217,-17154,3.0,1.0263440204803116,1.0000000000000009,-2.645051194539249,"-1.90,-1.25,-2.57,-2.65","0.493,0.504,0.482,0.481",0,10,-3.485207100591716
BOTH,32,62,30,32,0.5161290322580645,8203,0.4825064000975253,-0.03362263216053918,-2.0846031939534315,-17100,3.0,1.0263440204803116,1.0000000000000009,-2.6474890297415894,"-1.98,-1.17,-2.54,-2.65","0.484,0.497,0.475,0.473",0,10,-3.67810650887574
BOTH,32,63,31,32,0.5079365079365079,8203,0.47604534926246495,-0.03189115867404296,-2.009142996464708,-16481,3.0,1.0263440204803116,1.0000000000000009,-2.573378839590444,"-1.93,-1.10,-2.44,-2.57","0.477,0.490,0.469,0.467",0,10,-3.668639053254438
BOTH,32,64,32,32,0.5,8203,0.46970620504693406,-0.030293794953065944,-1.938802876996221,-15904,3.0,1.0263440204803116,1.0000000000000009,-2.40390243902439,"-1.86,-1.14,-2.40,-2.36","0.471,0.482,0.462,0.463",0,10,-3.824852071005917
BOTH,32,65,33,32,0.49230769230769234,8203,0.46190418139704986,-0.030403510910642473,-1.9762282091917591,-16211,3.0,1.0263440204803116,1.0000000000000009,-2.4170731707317072,"-1.99,-1.20,-2.42,-2.30","0.462,0.474,0.455,0.457",0,10,-4.0
BOTH,32,66,34,32,0.48484848484848486,8203,0.45580885042057784,-0.029039634427907024,-1.9166158722418627,-15722,3.0,1.0263440204803116,1.0000000000000009,-2.4770731707317073,"-1.85,-1.27,-2.48,-2.07","0.457,0.466,0.447,0.453",0,10,-3.8035502958579883
BOTH,32,67,35,32,0.47761194029850745,8203,0.4536145312690479,-0.02399740902945957,-1.60782640497379,-13189,3.0,1.0263440204803116,1.0000000000000009,-2.0951219512195123,"-1.65,-1.00,-2.10,-1.69","0.453,0.463,0.446,0.452",0,10,-3.693491124260355
BOTH,32,68,36,32,0.47058823529411764,8203,0.44849445324881143,-0.02209378204530621,-1.502377179080824,-12324,3.0,1.0263440204803116,1.0000000000000009,-1.9473170731707317,"-1.63,-0.74,-1.95,-1.70","0.447,0.460,0.442,0.446",0,10,-4.075739644970414
BOTH,32,69,37,32,0.463768115942029,8203,0.44069242959892724,-0.023075686343101753,-1.5922223576740218,-13061,3.0,1.0263440204803116,1.0000000000000009,-2.0439024390243903,"-1.72,-0.91,-2.04,-1.69","0.439,0.451,0.434,0.439",0,10,-3.910059171597633
BOTH,32,70,38,32,0.45714285714285713,8203,0.4341094721443374,-0.0230333849985197,-1.6123369498963793,-13226,3.0,1.0263440204803116,1.0000000000000009,-2.0878048780487806,"-1.66,-0.98,-2.09,-1.73","0.433,0.443,0.427,0.432",0,10,-3.7514792899408285
