target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
85,0,55,8,"(3,)",32,9.1875,0.71875,33.41304347826087,-52.72222222222222,1.619599578503688,-9.75,"24.50,-9.75,10.75,11.25",7,10,-42.5,9480.5,-6215.5,34.21875
65,5,55,7,"(18,)",19,9.18421052631579,0.9473684210526315,12.055555555555555,-42.5,5.105882352941176,-2.25,"14.10,12.90,9.70,-2.25",7,8,-9.833333333333334,4902.0,-1997.5,31.789473684210527
65,5,55,7,"(12, 18)",19,9.18421052631579,0.9473684210526315,12.055555555555555,-42.5,5.105882352941176,-2.25,"14.10,12.90,9.70,-2.25",7,8,-9.833333333333334,4902.0,-1997.5,31.789473684210527
70,0,50,7,"(12,)",22,9.181818181818182,0.8181818181818182,20.77777777777778,-43.0,2.1744186046511627,-4.7,"11.00,7.83,22.50,-4.70",6,10,-42.5,5287.0,-2253.5,35.18181818181818
65,5,55,8,"(18,)",21,9.166666666666666,0.9523809523809523,11.75,-42.5,5.529411764705882,-0.3,"13.17,12.90,10.10,-0.30",7,8,-9.833333333333334,5528.5,-2082.5,32.42857142857143
65,5,55,8,"(12, 18)",21,9.166666666666666,0.9523809523809523,11.75,-42.5,5.529411764705882,-0.3,"13.17,12.90,10.10,-0.30",7,8,-9.833333333333334,5528.5,-2082.5,32.42857142857143
65,6,55,8,"(20,)",18,9.166666666666666,0.9444444444444444,12.205882352941176,-42.5,4.882352941176471,-4.75,"14.10,12.70,12.50,-4.75",7,8,-9.833333333333334,4582.0,-2040.0,32.22222222222222
65,5,55,6,(),15,9.166666666666666,0.9333333333333333,12.857142857142858,-42.5,4.235294117647059,-1.25,"12.75,14.50,-1.25,11.17",7,8,-42.5,3671.0,-1870.0,30.666666666666668
65,5,55,6,"(12,)",15,9.166666666666666,0.9333333333333333,12.857142857142858,-42.5,4.235294117647059,-1.25,"12.75,14.50,-1.25,11.17",7,8,-42.5,3671.0,-1870.0,30.666666666666668
65,5,55,6,"(14,)",15,9.166666666666666,0.9333333333333333,12.857142857142858,-42.5,4.235294117647059,-1.25,"12.75,14.50,-1.25,11.17",7,8,-42.5,3671.0,-1870.0,30.666666666666668
90,0,45,10,(),21,9.166666666666666,0.6190476190476191,42.73076923076923,-45.375,1.5303030303030303,0.0,"0.00,4.10,24.50,9.90",5,10,-42.5,4170.0,-4637.0,32.95238095238095
90,0,45,10,"(12,)",21,9.166666666666666,0.6190476190476191,42.73076923076923,-45.375,1.5303030303030303,0.0,"0.00,4.10,24.50,9.90",5,10,-42.5,4170.0,-4637.0,32.95238095238095
80,0,50,10,"(3, 12)",26,9.153846153846153,0.7307692307692307,30.86842105263158,-49.785714285714285,1.6829268292682926,-27.785714285714285,"8.64,-27.79,29.33,32.67",7,10,-49.0,7557.5,-7065.0,27.96153846153846
90,4,55,8,"(3, 18)",22,9.136363636363637,0.6818181818181818,37.9,-52.5,1.546938775510204,0.1,"10.50,7.17,0.10,18.90",6,10,-59.5,5078.0,-3843.5,29.0
99,6,55,10,"(3, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
99,6,55,10,"(3, 12, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
99,7,55,10,"(3, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
99,7,55,10,"(3, 12, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
99,8,55,10,"(3, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
