model,edge,cost_low,cost_high,target_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_yes_share,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_yes_share
p_hist_gb,0.06999999999999999,0.4,0.7,99,332,-2.4728915662650603,0.8991586317017749,0.5572289156626506,0.6716867469879518,215,-3.4348837209302325,0.8577619414483821,0.6186046511627907,0.25116279069767444
p_xgboost,0.03,0.6,0.9,100,433,-1.592378752886836,0.8991295442908346,0.7990762124711316,0.6697459584295612,482,-5.622406639004149,0.7186023570946473,0.7406639004149378,0.42323651452282157
p_hist_gb,0.02,0.6,0.9,100,455,-1.6406593406593406,0.8985389058783554,0.7912087912087912,0.6483516483516484,460,-4.780434782608696,0.7539167412712623,0.7478260869565218,0.4152173913043478
p_kalshi_signal,0.02,0.5,0.8,99,581,-2.1695352839931155,0.8984655040476862,0.6746987951807228,0.6024096385542169,457,-5.189277899343545,0.77425035697287,0.6717724288840262,0.3851203501094092
p_lightgbm,0.06,0.6,0.9,99,166,-1.7590361445783131,0.8978306508047585,0.7710843373493976,0.7349397590361446,337,-4.989614243323442,0.7385321100917431,0.7507418397626113,0.33827893175074186
p_kalshi_signal,0.02,0.6,0.9,100,516,-1.6162790697674418,0.8969734403953058,0.7984496124031008,0.6414728682170543,470,-6.31063829787234,0.6900407566098861,0.7361702127659574,0.4425531914893617
p_lightgbm,0.07999999999999999,0.4,0.7,100,251,-2.5836653386454183,0.8969489909423168,0.5537848605577689,0.6812749003984063,196,-1.2295918367346939,0.9466755172032304,0.6377551020408163,0.25510204081632654
p_lightgbm,0.09,0.4,0.7,90,213,-2.227699530516432,0.8966230936819172,0.6150234741784038,0.6619718309859155,169,-0.36390532544378734,0.9794863242161441,0.7159763313609467,0.23668639053254437
p_btc_signal,0.06999999999999999,0.4,0.7,99,338,-2.559171597633136,0.8965125321528983,0.5710059171597633,0.650887573964497,298,-3.802013422818792,0.8404562416390904,0.6140939597315436,0.2651006711409396
p_hist_gb,0.02,0.5,0.8,100,550,-2.292727272727273,0.8961071060762101,0.6636363636363637,0.6436363636363637,476,-3.600840336134454,0.8404393967603798,0.6764705882352942,0.3739495798319328
p_market_blend,0.02,0.5,0.8,100,139,-2.420863309352518,0.8937983272842038,0.6474820143884892,0.762589928057554,268,-4.3059701492537314,0.8104000657192146,0.6753731343283582,0.26865671641791045
p_hist_gb,0.09999999999999999,0.3,0.6,99,305,-2.6901639344262294,0.8935659618627578,0.4557377049180328,0.7049180327868853,78,-2.0512820512820515,0.9181585677749361,0.5384615384615384,0.15384615384615385
p_hist_gb,0.07999999999999999,0.4,0.7,99,268,-2.6865671641791047,0.8932146829810901,0.5485074626865671,0.6604477611940298,187,-1.6229946524064172,0.929352886405959,0.6363636363636364,0.24064171122994651
p_btc_signal,0.049999999999999996,0.5,0.8,99,395,-2.3253164556962025,0.8929861353838984,0.6708860759493671,0.6556962025316456,431,-2.8897911832946637,0.8637383075324107,0.6960556844547564,0.32018561484918795
p_btc_signal,0.09999999999999999,0.5,0.8,99,140,-2.4714285714285715,0.8929786575935663,0.6428571428571429,0.7714285714285715,292,-4.034246575342466,0.8188110436053219,0.6815068493150684,0.2636986301369863
p_xgboost,0.03,0.5,0.8,99,487,-2.3316221765913756,0.8914902766496249,0.6776180698151951,0.6652977412731006,476,-4.581932773109243,0.7969746334652082,0.6785714285714286,0.36764705882352944
p_lightgbm,0.09,0.5,0.8,100,126,-2.611111111111111,0.8909693454846728,0.626984126984127,0.7222222222222222,218,-1.3394495412844036,0.9355052457205963,0.7018348623853211,0.24770642201834864
p_hist_gb,0.03,0.5,0.8,100,462,-2.461038961038961,0.8904413181730584,0.658008658008658,0.6753246753246753,446,-4.23542600896861,0.8147857633101284,0.672645739910314,0.3654708520179372
p_lightgbm,0.09,0.3,0.6,90,363,-2.5192837465564737,0.8897129763627593,0.5041322314049587,0.6859504132231405,88,-1.795454545454546,0.9153722549544724,0.6136363636363636,0.13636363636363635
p_lightgbm,0.11999999999999998,0.3,0.6,100,199,-2.8467336683417086,0.8890086206896551,0.4371859296482412,0.7788944723618091,47,-10.22340425531915,0.6511796733212342,0.46808510638297873,0.14893617021276595
p_lightgbm,0.07999999999999999,0.4,0.7,90,251,-2.3844621513944224,0.8885267275097783,0.6175298804780877,0.6812749003984063,196,-1.6377551020408165,0.9123190385140671,0.7040816326530612,0.25510204081632654
p_ensemble,0.039999999999999994,0.6,0.9,99,216,-1.837962962962963,0.8883890919314029,0.7870370370370371,0.7962962962962963,406,-5.697044334975369,0.7089284590700309,0.7463054187192119,0.3448275862068966
p_ensemble,0.049999999999999996,0.5,0.8,100,228,-2.543859649122807,0.8883756735950731,0.6491228070175439,0.7543859649122807,344,-5.517441860465116,0.7655777187673686,0.6656976744186046,0.29069767441860467
p_lightgbm,0.12999999999999998,0.0,1.0,100,220,-2.768181818181818,0.8883183568677792,0.41818181818181815,0.7954545454545454,93,-7.919354838709677,0.6861282761559769,0.6021505376344086,0.23655913978494625
