rule,side,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low15-25_close35-55_green,YES,85,391,43.57289002557545,7.0,0.5549872122762148,0.5126222355950053,3.601023017902813,0.2857142857142857,"0.29,2.78,5.90,5.47",8,10,-8.710526315789474,-11.997800511508707,-15.58105895087589,0.6673842187119311,20.92838874680307
m5_low15-25_close40-60_green,NO,65,350,48.25714285714286,7.0,0.6942857142857143,0.7424175824175825,-3.12857142857143,-5.613636363636364,"-4.60,-2.11,-0.14,-5.61",3,10,-11.305555555555557,-7.125428571428638,-40.456598604879964,-6.773366338209266,20.58
m5_low15-25_close40-60_green,NO,70,350,48.25714285714286,7.0,0.6828571428571428,0.6893877551020409,-0.45714285714285796,-3.9659090909090917,"-1.19,-0.16,3.54,-3.97",7,10,-10.624999999999998,-7.125428571428638,-40.456598604879964,-6.773366338209266,20.58
m5_low15-25_close40-60_green,NO,75,350,48.25714285714286,7.0,0.6457142857142857,0.6434285714285715,0.1714285714285708,-4.250000000000001,"1.36,-1.89,5.49,-4.25",7,10,-10.468749999999998,-7.125428571428638,-40.456598604879964,-6.773366338209266,20.58
m5_low15-25_close40-60_green,NO,80,350,48.25714285714286,7.0,0.5971428571428572,0.6032142857142857,-0.4857142857142864,-5.897727272727274,"1.99,-1.54,3.54,-5.90",4,10,-15.624999999999998,-7.125428571428638,-40.456598604879964,-6.773366338209266,20.58
m5_low15-25_close40-60_green,NO,85,350,48.25714285714286,7.0,0.56,0.5677310924369748,-0.6571428571428575,-4.471264367816093,"0.34,-4.47,5.78,-4.25",5,10,-13.749999999999998,-7.125428571428638,-40.456598604879964,-6.773366338209266,20.58
m5_low15-25_close40-60_green,YES,65,371,48.83288409703504,7.0,0.7277628032345014,0.7512751399543852,-1.528301886792453,-3.5698924731182795,"-3.57,0.58,-0.85,-2.27",3,10,-8.208333333333334,-3.8820215633421893,-19.702207873683314,-2.762034337192421,21.024258760107816
m5_low15-25_close40-60_green,YES,70,371,48.83288409703504,7.0,0.6954177897574124,0.6976126299576434,-0.15363881401617252,-1.5806451612903223,"-1.58,1.39,-0.20,-0.23",4,10,-5.291666666666667,-3.8820215633421893,-19.702207873683314,-2.762034337192421,21.024258760107816
m5_low15-25_close40-60_green,YES,75,371,48.83288409703504,7.0,0.660377358490566,0.6511051212938006,0.6954177897574124,-2.225806451612903,"-2.23,2.57,1.65,0.80",6,10,-5.5,-3.8820215633421893,-19.702207873683314,-2.762034337192421,21.024258760107816
m5_low15-25_close40-60_green,YES,80,371,48.83288409703504,7.0,0.633423180592992,0.610411051212938,1.8409703504043127,0.03225806451612934,"0.03,1.71,2.41,3.22",6,10,-2.7916666666666674,-3.8820215633421893,-19.702207873683314,-2.762034337192421,21.024258760107816
