side,trades,hit_rate,breakeven_hit_rate,avg_entry_c,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,avg_entry_minute,avg_signal_dist_below_ema_c,avg_bars_since_touch,avg_drop5_c,table,dist_bin,bars_bin,entry_c
,215,0.29767441860465116,0.2651162790697674,21.209302325581394,2.604651162790698,-5.148148148148148,"2.59,11.65,-5.15,1.30",6,10,-9.15,0.2651162790697674,6.134883720930232,34.6688385006172,4.432558139534883,73.24232558139535,dist_bars,30-40,4-5,
,32,0.3125,0.28359375,22.6875,2.3125,-12.375,"27.25,-2.75,-2.88,-12.38",4,8,-24.0,0.1875,6.84375,17.800209603871963,4.34375,56.734375,dist_bars,15-20,4-5,
,338,0.2958579881656805,0.26871301775147927,21.497041420118343,2.171597633136095,0.15294117647058825,"0.15,1.36,5.92,1.24",6,10,-6.96875,0.22781065088757396,5.263313609467455,22.444999394003208,1.0,67.26923076923077,dist_bars,20-25,1,
,453,0.2891832229580574,0.2639900662251656,21.119205298013245,2.0154525386313464,-1.3097345132743363,"3.27,3.81,-1.31,2.27",5,10,-3.872340425531915,0.23399558498896247,4.977924944812362,34.533818723143135,1.0,72.35452538631347,dist_bars,30-40,1,
,306,0.2908496732026144,0.26809640522875816,21.447712418300654,1.8202614379084967,-1.9610389610389611,"-0.53,6.99,-1.96,2.87",6,10,-7.8,0.22875816993464052,4.9640522875816995,17.719511804782012,1.0,68.34673202614378,dist_bars,15-20,1,
,33,0.30303030303030304,0.28143939393939393,22.515151515151516,1.7272727272727273,-22.666666666666668,"-22.67,17.25,17.62,-2.25",5,9,-22.75,0.2727272727272727,5.2727272727272725,13.306847562167722,2.0,67.23636363636365,dist_bars,10-15,2,
,25,0.28,0.273,21.84,0.56,-21.166666666666668,"11.86,4.83,-21.17,4.83",4,10,-21.5,0.24,8.16,22.412475472100986,6.68,28.8,dist_bars,20-25,6-8,
,210,0.26666666666666666,0.26666666666666666,21.333333333333332,0.0,-4.773584905660377,"7.11,0.38,-4.77,-2.77",5,10,-13.272727272727273,0.19523809523809524,5.109523809523809,34.881548614158575,3.0,74.63285714285715,dist_bars,30-40,3,
,302,0.24172185430463577,0.26531456953642385,21.225165562913908,-1.8874172185430464,-7.253333333333333,"-3.30,0.29,2.67,-7.25",3,10,-11.653846153846153,0.20860927152317882,5.466887417218543,27.276781579840662,1.0,68.2751655629139,dist_bars,25-30,1,
,186,0.23655913978494625,0.2713037634408602,21.704301075268816,-2.7795698924731185,-7.521739130434782,"0.06,-6.13,2.30,-7.52",3,10,-17.375,0.17204301075268819,5.193548387096774,27.53982985056963,2.0,68.15806451612903,dist_bars,25-30,2,
,152,0.23684210526315788,0.2725328947368421,21.80263157894737,-2.8552631578947367,-10.657894736842104,"-2.95,-0.71,-10.66,2.89",4,10,-14.181818181818182,0.18421052631578946,5.565789473684211,22.562213015123174,2.0,65.33223684210526,dist_bars,20-25,2,
,295,0.22033898305084745,0.2673305084745763,21.386440677966103,-3.759322033898305,-5.256756756756757,"-5.14,-5.26,0.18,-4.84",2,10,-8.225806451612904,0.1864406779661017,4.589830508474576,34.42696163162734,2.0,74.09728813559322,dist_bars,30-40,2,
,129,0.20930232558139536,0.2580426356589147,20.643410852713178,-3.89922480620155,-10.625,"-6.09,-10.62,-0.62,1.81",3,10,-20.272727272727273,0.14728682170542637,4.689922480620155,44.71592862020882,2.0,78.45348837209302,dist_bars,40-60,2,
,98,0.22448979591836735,0.274234693877551,21.93877551020408,-3.979591836734694,-12.0,"-12.00,-1.83,0.00,-1.92",3,10,-21.857142857142858,0.1836734693877551,5.469387755102041,17.773994564675288,2.0,67.01326530612245,dist_bars,15-20,2,
,67,0.22388059701492538,0.2787313432835821,22.29850746268657,-4.388059701492537,-12.588235294117647,"5.41,-3.41,-12.59,-7.12",2,10,-23.0,0.16417910447761194,5.850746268656716,22.676165421089436,3.0,65.7820895522388,dist_bars,20-25,3,
,75,0.2,0.2595,20.76,-4.76,-8.842105263157896,"-7.79,0.89,-8.84,-3.22",3,10,-20.7,0.16,7.733333333333333,34.728966993755385,6.493333333333333,38.076,dist_bars,30-40,6-8,
,72,0.19444444444444445,0.2569444444444445,20.555555555555557,-5.0,-16.666666666666668,"2.11,-16.67,-7.33,1.89",3,10,-23.0,0.16666666666666666,5.236111111111111,44.534744292780175,3.0,78.13888888888889,dist_bars,40-60,3,
,39,0.1794871794871795,0.2727564102564103,21.82051282051282,-7.461538461538462,-21.22222222222222,"-14.40,1.70,2.70,-21.22",1,10,-25.0,0.1794871794871795,7.743589743589744,27.688836195143665,6.564102564102564,31.512820512820515,dist_bars,25-30,6-8,
,97,0.17525773195876287,0.2716494845360825,21.7319587628866,-7.711340206185567,-8.708333333333334,"-5.52,-8.38,-8.71,-8.33",2,10,-21.833333333333332,0.13402061855670103,6.206185567010309,27.6436043176629,4.381443298969073,70.96494845360826,dist_bars,25-30,4-5,
,204,0.16176470588235295,0.2595588235294118,20.764705882352942,-7.823529411764706,-11.372549019607844,"-6.47,-9.75,-3.71,-11.37",1,10,-14.25,0.12745098039215685,4.568627450980392,45.271152933061785,1.0,76.99803921568628,dist_bars,40-60,1,
,64,0.09375,0.25234375,20.1875,-12.6875,-15.1875,"-5.31,-15.12,-15.19,-15.12",1,10,-20.2,0.078125,6.03125,43.93817434262546,4.453125,81.7828125,dist_bars,40-60,4-5,
